cadena,nom_producte,format,preu,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
BonPreu,DOLCE GUSTO Càpsules de cafè tallat,16 per paquet,4.25,,Càpsules de cafè tallat Dolce Gusto Espresso Macchiato en capsa de 16 càpsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,"INGREDIENTS: llet en pols (61,8%), cafè soluble (36,5%), estabilitzadors (fosfat de potassi, citrats de sodi), emulgent (lecitina de soja)."," per 100 g  Valor energètic  1473 kJ / 353 kcal  Greixos  16,7 g  dels quals saturats  10,4 g  Hidrats de carboni  25,1 g dels quals sucres  24,8 g  Proteïnes  19 g  Sal  0,9 g",Conservar en lloc fresc i sec.
BonPreu,DOLCE GUSTO Càpsules de cafè Espresso Barista,16 per paquet,4.25,,Càpsules de cafè Espresso Barista Dolce Gusto en capsa de 16 càpsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè molt de torrada natural.,Conservar en lloc fresc i sec.,NULL
BonPreu,DOLCE GUSTO Càpsules de cafè Lungo,16 per paquet,4.25,,Càpsules de cafè Lungo Dolce Gusto en capsa de 16 cápsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè molt de torrada natural.,"Conservar en lloc net, fresc i sec.",NULL
BonPreu,TASSIMO Càpsules de cafè Espresso,16 per paquet,4.39,,Càpsules de cafè Espresso Marcilla Tassimo en envàs de 16 càpsules,TASSIMO,"08019,, BARCELONA",41.41046934690756,41.41046934690756,Conservar en un lloc fresc i sec.,NULL,NULL
BonPreu,BONPREU Càpsules de cafè amb llet,16 per paquet,2.99,,Càpsules de cafè amb llet Bonpreu en capsa de 16 càpsules,BONPREU,"08508, Les Masies de VoltregàCàpsules de cafè compatibles amb màquines de cafè Nescafé Dolce Gusto (marques d'una companyia no relacionada amb Bon Preu SAU)",0.0,0.0,"INGREDIENTS: llet semidesnatada en pols (55%), sèrum làctic en pols, cafè soluble (15%), antiaglomerant (fosfat tricàlcic) i aroma.","per 100 g:Valors energètics  1613 kJ / 385 kcalGreixos  9,7 gdels quals saturats  6,9 gHidrats de carboni  54 gdels quals sucres  47 gProteïnes  23 gSal  1,0 g",Conserveu-les en un lloc fresc i sec.Introduïu la càpsula a la cafetera compatible amb les càpsules. Recomanem usar una tassa de 180 ml per a una millor degustació del cafè. En cafeteres automàtiques recomanem que programeu la dosificació a 5 punts sobre el total de 7.Nota de tast: beguda amb crema abundant i aromes dolces que recorden el caramel toffee. Postgust a cafè amb notes dolces de crema de llet.
BonPreu,DOLCE GUSTO Càpsules de cafè Cappuccino,16 per paquet,4.25,,Càpsules de cafè Cappuccino Dolce Gusto en capsa de 16 cápsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,"INGREDIENTS: llet en pols (82,4%), sucre. Pot contenir soja. Cafè molt de torrat natural."," per 100 g  Valor energètic  1765 kJ / 423 kcal Greixos  20,4 g  dels quals saturats  10,3 g  Hidrats de carboni  35,9 g  dels quals sucres  23,9 g  Fibra alimentària  12,9 g  Proteïnes  17,4 g  Sal  0,45 g","Conservar en un lloc net, fresc i sec."
BonPreu,MARCILLA Càpsules de cafè fort Senseo,28 per paquet,3.55,,Càpsules de cafè fort Senseo Marcilla Gran Aroma en envàs de 28 càpsules,MARCILLA,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè i sucre. El cafè torrefacte ha estat torrat amb sucres.,"Per preparar una tassa de cafè, col·locar una monodosi en el cassonet individual i prémer el botó d'1 tassa. Per prerara 2 tasses de cafè, col·locar 2 monodosis juntes en el cassonet doble i prémer el botó de 2 tasses.Un cop obert l'envàs, consumir les monodosis de cafè Marcilla preferentment durants les dues/tres setmanes següents. Conservar les monodosis en un lloc fresc i sec en un recipient ben tancat.",NULL
BonPreu,L'OR Cafè en gra intensitat 8,0.5kg,7.49,,Cafè en gra intensitat 8 L'Or Espresso en paquet de 500 grams,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè en gra de torrat natural.Envasat en atmosfera protectora.,"Conservar en un lloc net, fresc i sec.",NULL
BonPreu,L'OR Cafè en gra Intensitat 9,0.5kg,7.49,,Cafè en gra Intensitat 9 L'Or Forza en paquet de 500 grams,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè en gra de torrat natural.Envasat en atmosfera protectora.,"Conservar en un lloc net, fresc i sec.",NULL
BonPreu,BONPREU Cafè en gra natural,0.25kg,1.59,,Cafè en gra natural Bonpreu en bossa de 250 grams,BONPREU,"08508, Les Masies de VoltregàFet a Catalunya",0.0,0.0,INGREDIENTS: cafè en gra. Torrada natural.,"Recomanacions: feu servir cafè acabat de moldre. Moleu-ne la quantitat necessària i prou. Useu aigua de puresa màxim i de mineralització dèbil. No deixeu bullir el cafè ni el serviu reescalfat, per evitar que perdi l'aroma original.Conservació: conserveu-lo en un lloc fresc i sec. Un cop obert l'envàs, per mantenir l'aroma i el cafè en bones condicions, manteniu-lo en el seu envàs ben tancat hermèticament.Instruccions d'ús: consulteu el detall a l'envàs.",NULL
